".\VolumeSampling.exe -i .\Dragon_50k.obj -o Dragon_50k.vtk --viscosity 0.05 -r 0.04 -s "2.5 2.5 2.5""
"id","Points:0","Points:1","Points:2"
259,0.36911,0.42146,-0.34238
260,0.41735,0.42939,-0.38656
261,0.48743,0.43579,-0.34701
262,0.57358,0.43283,-0.35138
263,0.65669,0.43879,-0.35701
264,0.7535,0.4428,-0.39029
265,0.79159,0.40925,-0.35135
266,-0.95283,0.5063,-0.38536
267,-0.90146,0.50978,-0.4119
268,-0.84452,0.51078,-0.41247
269,-0.78405,0.49371,-0.40176
270,-0.28402,0.50859,-0.38851
271,-0.25418,0.48453,-0.42251
272,-0.15133,0.51354,-0.37776
273,-0.090462,0.51459,-0.37245
274,0.40674,0.48633,-0.37075
275,0.46103,0.50488,-0.4052
276,0.52831,0.49662,-0.41704
277,0.60856,0.4949,-0.41396
278,0.6789,0.4872,-0.42301
279,0.72911,0.49767,-0.39927
280,-0.95187,0.56468,-0.3638
281,-0.8922,0.56582,-0.38038
282,-0.83428,0.54894,-0.36539
283,-0.33772,0.55471,-0.33126
284,-0.28073,0.57635,-0.36163
285,-0.1818,0.56897,-0.38245
286,-0.11666,0.57488,-0.3828
287,-0.041027,0.56276,-0.37271
288,0.012388,0.56711,-0.3442
289,0.40414,0.55303,-0.35075
290,0.44809,0.56903,-0.38365
291,0.56326,0.56719,-0.35349
292,0.66734,0.54878,-0.39563
293,0.71868,0.56065,-0.36261
294,-0.21085,0.62403,-0.36956
295,-0.14481,0.64521,-0.38703
296,-0.082754,0.62712,-0.38893
297,-0.018397,0.62815,-0.38497
298,0.47211,0.62446,-0.38009
299,0.52967,0.62176,-0.41005
300,0.59345,0.63073,-0.42071
301,0.66759,0.62861,-0.41173
302,0.72147,0.63648,-0.38504
303,-0.2395,0.69154,-0.33573
304,-0.18776,0.69635,-0.37142
305,-0.12239,0.70696,-0.38999
306,-0.063721,0.68533,-0.39594
307,0.029973,0.6917,-0.38616
308,0.078487,0.69202,-0.35222
309,0.47756,0.68378,-0.35262
310,0.52475,0.68928,-0.38711
311,0.64176,0.69247,-0.35426
312,0.75313,0.69074,-0.38649
313,0.79543,0.70285,-0.35582
314,-0.13738,0.7689,-0.38417
315,-0.075998,0.76264,-0.40137
316,-0.0031958,0.77406,-0.40274
317,0.057973,0.7578,-0.3928
