".\VolumeSampling.exe -i .\sphere.obj -o sphere.vtk --viscosity 0.05 -r 0.03 -s "0.74 0.74 0.74""
"id","Points:0","Points:1","Points:2"
344,0.21026,-0.27529,-0.56394
345,0.27239,-0.28298,-0.58004
346,0.31438,-0.26784,-0.5656
347,0.35981,-0.25797,-0.54779
348,-0.40067,-0.22376,-0.53975
349,-0.36542,-0.21415,-0.56346
350,-0.2901,-0.22133,-0.54144
351,-0.23261,-0.2204,-0.55809
352,-0.17349,-0.21905,-0.53905
353,-0.11524,-0.22128,-0.54546
354,-0.058104,-0.22188,-0.54949
355,0.00012996,-0.22175,-0.54907
356,0.059115,-0.22096,-0.54836
357,0.11641,-0.22143,-0.54505
358,0.1748,-0.21937,-0.53831
359,0.23379,-0.22061,-0.55762
360,0.29104,-0.22166,-0.54081
361,0.36669,-0.21399,-0.56291
362,0.40202,-0.2236,-0.53869
363,-0.40503,-0.17016,-0.55481
364,-0.36564,-0.16542,-0.57608
365,-0.32587,-0.16663,-0.59602
366,-0.26148,-0.17138,-0.57145
367,-0.20422,-0.17031,-0.58519
368,-0.14509,-0.1684,-0.57262
369,-0.086111,-0.16954,-0.57223
370,-0.028706,-0.17275,-0.57632
371,0.029209,-0.17238,-0.57535
372,0.086951,-0.16948,-0.57233
373,0.14599,-0.1684,-0.5708
374,0.20569,-0.1703,-0.58467
375,0.26267,-0.17144,-0.57075
376,0.32647,-0.16616,-0.59584
377,0.366,-0.16537,-0.57591
378,0.40537,-0.17045,-0.55448
379,-0.43917,-0.13363,-0.53278
380,-0.41247,-0.1218,-0.5636
381,-0.34813,-0.11678,-0.53914
382,-0.29145,-0.12125,-0.56096
383,-0.23439,-0.11911,-0.54222
384,-0.17511,-0.12059,-0.55008
385,-0.11622,-0.11892,-0.55009
386,-0.057721,-0.11959,-0.55331
387,0.00049479,-0.12041,-0.54238
388,0.058765,-0.11946,-0.55233
389,0.11722,-0.11865,-0.54969
390,0.17631,-0.12043,-0.54974
391,0.23554,-0.11903,-0.54167
392,0.2926,-0.12129,-0.56054
393,0.34885,-0.11662,-0.53863
394,0.41299,-0.12253,-0.56302
395,0.44039,-0.13114,-0.53233
396,-0.40828,-0.074985,-0.57222
397,-0.36665,-0.065044,-0.59402
398,-0.32022,-0.066794,-0.56566
399,-0.26396,-0.070356,-0.5857
400,-0.20493,-0.068377,-0.56599
401,-0.14588,-0.069456,-0.57789
402,-0.087608,-0.071429,-0.57947
403,-0.029574,-0.070973,-0.57913
404,0.030019,-0.071112,-0.57817
405,0.088394,-0.070912,-0.57932
406,0.14687,-0.069396,-0.57757
407,0.20607,-0.068209,-0.56548
408,0.26509,-0.07028,-0.58512
409,0.32145,-0.066646,-0.56494
410,0.36858,-0.064745,-0.59306
411,0.40983,-0.07567,-0.57125
412,-0.4474,-0.01935,-0.54176
413,-0.41693,-0.031835,-0.57042
414,-0.35421,-0.017946,-0.54524
415,-0.29127,-0.018174,-0.56233
416,-0.23525,-0.019104,-0.54545
417,-0.17431,-0.019309,-0.55094
418,-0.11697,-0.020399,-0.55444
419,-0.0587,-0.020525,-0.54416
420,0.00054032,-0.021031,-0.54814
421,0.059849,-0.020471,-0.54401
422,0.11807,-0.020244,-0.55387
423,0.17548,-0.019238,-0.55071
424,0.23649,-0.018978,-0.54497
425,0.29251,-0.018055,-0.5621
426,0.35544,-0.017819,-0.54473
427,0.41833,-0.031846,-0.5694
428,0.44878,-0.017646,-0.5405
429,-0.41891,0.016972,-0.57025
430,-0.38192,0.040618,-0.58839
431,-0.31885,0.031797,-0.56608
432,-0.26394,0.032132,-0.58717
433,-0.20531,0.029423,-0.56819
434,-0.14647,0.030257,-0.58025
435,-0.088911,0.029342,-0.57745
436,-0.028522,0.029261,-0.578
437,0.029091,0.029266,-0.57769
438,0.089579,0.029499,-0.57703
439,0.14742,0.030359,-0.57998
440,0.2063,0.029485,-0.56773
441,0.26501,0.032298,-0.58664
442,0.32007,0.03195,-0.56564
443,0.3832,0.040693,-0.58773
444,0.42008,0.017329,-0.56933
445,-0.44501,0.085105,-0.53717
446,-0.41566,0.070769,-0.56787
447,-0.35131,0.078188,-0.54187
448,-0.29356,0.084917,-0.56314
449,-0.23616,0.080967,-0.54577
450,-0.17756,0.080857,-0.55248
451,-0.11865,0.07891,-0.55304
452,-0.059053,0.079306,-0.54205
453,0.00063449,0.079891,-0.54762
454,0.060365,0.079352,-0.54192
455,0.11981,0.078928,-0.55263
456,0.17878,0.081023,-0.55232
457,0.23735,0.080916,-0.54524
458,0.29471,0.085091,-0.56277
459,0.35245,0.078264,-0.54135
460,0.41696,0.071038,-0.56688
461,0.44649,0.086388,-0.53546
462,-0.41122,0.1204,-0.56485
463,-0.36968,0.14189,-0.58034
464,-0.3334,0.12406,-0.60356
465,-0.26649,0.13346,-0.57806
466,-0.20882,0.13287,-0.59278
467,-0.14996,0.1296,-0.57148
468,-0.090607,0.12955,-0.57535
469,-0.0292,0.13128,-0.57851
470,0.03019,0.13134,-0.57834
471,0.091544,0.12941,-0.57512
472,0.15096,0.12969,-0.57127
473,0.20982,0.13318,-0.59247
474,0.26716,0.13351,-0.57733
475,0.33464,0.1239,-0.60297
476,0.37099,0.14169,-0.57973
477,0.41229,0.12041,-0.5641
478,-0.43003,0.18276,-0.52529
479,-0.40175,0.17201,-0.5564
480,-0.35978,0.1917,-0.5721
481,-0.29474,0.1815,-0.54911
482,-0.23709,0.17995,-0.56401
483,-0.17864,0.17991,-0.54672
484,-0.11974,0.18019,-0.55183
485,-0.06026,0.17702,-0.54891
486,0.00062449,0.17564,-0.5503
487,0.061652,0.17715,-0.54848
488,0.12115,0.18014,-0.55144
489,0.17996,0.17984,-0.54641
490,0.23793,0.18119,-0.56463
491,0.29545,0.18147,-0.54875
492,0.36155,0.19142,-0.57126
493,0.40301,0.17214,-0.55556
494,0.43177,0.18354,-0.52316
495,-0.35502,0.23955,-0.55838
496,-0.31678,0.22649,-0.58339
497,-0.27724,0.22965,-0.60206
498,-0.21132,0.22838,-0.57715
499,-0.14737,0.2316,-0.58739
500,-0.091538,0.22443,-0.58609
501,-0.029525,0.22351,-0.56923
502,0.030912,0.22329,-0.56932
503,0.093598,0.22485,-0.58467
504,0.14879,0.23296,-0.58618
505,0.20992,0.23025,-0.57586
506,0.27865,0.2274,-0.60237
507,0.31842,0.22595,-0.58278
508,0.35785,0.23812,-0.5577
509,-0.38299,0.26852,-0.52936
510,-0.34153,0.29054,-0.54137
511,-0.30461,0.27413,-0.56769
512,-0.23338,0.27998,-0.54528
513,-0.1784,0.26866,-0.55216
514,-0.11656,0.26884,-0.55255
515,-0.057779,0.27449,-0.53606
516,0.00070053,0.27453,-0.54153
517,0.059576,0.27356,-0.53625
518,0.12033,0.27356,-0.55322
519,0.17551,0.27792,-0.55539
