"id","Points:0","Points:1","Points:2"
326,0.837,0.14839,-0.37049
327,-1.1848,0.16282,-0.408
328,-1.1395,0.1779,-0.42566
329,-1.0903,0.19198,-0.4256
330,-1.0167,0.15492,-0.42717
331,-0.96347,0.17531,-0.41763
332,-0.90914,0.17974,-0.40761
333,-0.8592,0.16873,-0.41595
334,-0.79812,0.1811,-0.41466
335,-0.73264,0.16917,-0.41444
336,-0.67964,0.17674,-0.41882
337,-0.6222,0.17972,-0.42135
338,-0.56709,0.17894,-0.42288
339,-0.50918,0.17732,-0.42042
340,-0.45017,0.17726,-0.42131
341,-0.39311,0.17543,-0.42005
342,-0.33146,0.17383,-0.41658
343,-0.27038,0.17025,-0.41935
344,0.75447,0.18936,-0.41779
345,0.80162,0.17904,-0.41324
346,0.84789,0.18765,-0.40167
347,-1.1679,0.19963,-0.37265
348,-1.0982,0.20448,-0.37465
349,-1.0435,0.21228,-0.3877
350,-0.99027,0.22241,-0.38346
351,-0.94518,0.23699,-0.38565
352,-0.89159,0.23802,-0.39819
353,-0.82879,0.22831,-0.39232
354,-0.76835,0.23202,-0.39002
355,-0.71054,0.22906,-0.38806
356,-0.65263,0.22537,-0.38867
357,-0.5942,0.22655,-0.39069
358,-0.53974,0.22367,-0.38745
359,-0.47949,0.2403,-0.39446
360,-0.42014,0.22326,-0.38573
361,-0.36362,0.22716,-0.3897
362,-0.30201,0.22306,-0.39167
363,-0.23981,0.21578,-0.39552
364,0.43711,0.23504,-0.36624
365,0.48955,0.22995,-0.37812
366,0.54242,0.23008,-0.38226
367,0.60061,0.23038,-0.38306
368,0.66018,0.22779,-0.38795
369,0.71234,0.2099,-0.39014
370,0.7788,0.23293,-0.38656
371,0.83646,0.22534,-0.38516
372,-0.84017,0.27023,-0.39062
373,-0.78719,0.28349,-0.41204
374,-0.73898,0.2797,-0.42842
375,-0.68916,0.26401,-0.43233
376,-0.6264,0.27476,-0.41404
377,-0.56396,0.28409,-0.41644
378,-0.52234,0.2552,-0.41355
379,-0.43643,0.2518,-0.41747
380,-0.39041,0.27199,-0.42381
381,-0.34339,0.28446,-0.42697
382,-0.28232,0.27018,-0.41588
383,-0.21886,0.26706,-0.41443
384,0.47018,0.28038,-0.40268
385,0.51213,0.26973,-0.42242
386,0.56923,0.26573,-0.4162
387,0.62704,0.26271,-0.42114
388,0.68814,0.27252,-0.41518
389,0.75204,0.28431,-0.42285
390,0.7805,0.26095,-0.42486
391,-0.88422,0.33205,-0.38918
392,-0.83867,0.31892,-0.40329
393,-0.76742,0.32544,-0.3903
394,-0.70829,0.32406,-0.39343
395,-0.65156,0.32725,-0.38897
396,-0.59043,0.33054,-0.3911
397,-0.3618,0.31898,-0.37143
398,-0.31462,0.32842,-0.3947
